dataset,model_key,true_label,predicted_label,count
MetaSMS,beto,ham,ham,37484
MetaSMS,beto,ham,spam,64
MetaSMS,beto,ham,smishing,63
MetaSMS,beto,spam,ham,117
MetaSMS,beto,spam,spam,2246
MetaSMS,beto,spam,smishing,451
MetaSMS,beto,smishing,ham,101
MetaSMS,beto,smishing,spam,368
MetaSMS,beto,smishing,smishing,4593
MetaSMS,roberta-es,ham,ham,37537
MetaSMS,roberta-es,ham,spam,31
MetaSMS,roberta-es,ham,smishing,43
MetaSMS,roberta-es,spam,ham,88
MetaSMS,roberta-es,spam,spam,2316
MetaSMS,roberta-es,spam,smishing,410
MetaSMS,roberta-es,smishing,ham,100
MetaSMS,roberta-es,smishing,spam,249
MetaSMS,roberta-es,smishing,smishing,4713
MetaSMS,mbert,ham,ham,37502
MetaSMS,mbert,ham,spam,50
MetaSMS,mbert,ham,smishing,59
MetaSMS,mbert,spam,ham,118
MetaSMS,mbert,spam,spam,2264
MetaSMS,mbert,spam,smishing,432
MetaSMS,mbert,smishing,ham,91
MetaSMS,mbert,smishing,spam,333
MetaSMS,mbert,smishing,smishing,4638
MetaSMS,xlm-r,ham,ham,37509
MetaSMS,xlm-r,ham,spam,39
MetaSMS,xlm-r,ham,smishing,63
MetaSMS,xlm-r,spam,ham,104
MetaSMS,xlm-r,spam,spam,2280
MetaSMS,xlm-r,spam,smishing,430
MetaSMS,xlm-r,smishing,ham,89
MetaSMS,xlm-r,smishing,spam,386
MetaSMS,xlm-r,smishing,smishing,4587
MetaSMS,mdeberta,ham,ham,37611
MetaSMS,mdeberta,ham,spam,0
MetaSMS,mdeberta,ham,smishing,0
MetaSMS,mdeberta,spam,ham,2814
MetaSMS,mdeberta,spam,spam,0
MetaSMS,mdeberta,spam,smishing,0
MetaSMS,mdeberta,smishing,ham,5062
MetaSMS,mdeberta,smishing,spam,0
MetaSMS,mdeberta,smishing,smishing,0
MetaSMS,distilbert,ham,ham,37503
MetaSMS,distilbert,ham,spam,44
MetaSMS,distilbert,ham,smishing,64
MetaSMS,distilbert,spam,ham,92
MetaSMS,distilbert,spam,spam,2308
MetaSMS,distilbert,spam,smishing,414
MetaSMS,distilbert,smishing,ham,110
MetaSMS,distilbert,smishing,spam,311
MetaSMS,distilbert,smishing,smishing,4641
MetaSMS,minilm,ham,ham,37495
MetaSMS,minilm,ham,spam,53
MetaSMS,minilm,ham,smishing,63
MetaSMS,minilm,spam,ham,100
MetaSMS,minilm,spam,spam,2306
MetaSMS,minilm,spam,smishing,408
MetaSMS,minilm,smishing,ham,94
MetaSMS,minilm,smishing,spam,334
MetaSMS,minilm,smishing,smishing,4634
MetaSMS,securebert2,ham,ham,37495
MetaSMS,securebert2,ham,spam,53
MetaSMS,securebert2,ham,smishing,63
MetaSMS,securebert2,spam,ham,72
MetaSMS,securebert2,spam,spam,2383
MetaSMS,securebert2,spam,smishing,359
MetaSMS,securebert2,smishing,ham,75
MetaSMS,securebert2,smishing,spam,303
MetaSMS,securebert2,smishing,smishing,4684
