model_key,language,n_samples,macro_f1,accuracy
beto,da,10,0.3333333333333333,1.0
beto,de,140,0.6492662473794549,0.9714285714285714
beto,en,43973,0.9000721666445317,0.9748027198508176
beto,es,468,0.9339170237166612,0.9594017094017094
beto,fr,119,0.6651162790697674,0.9915966386554622
beto,hi,81,0.6666666666666666,1.0
beto,id,50,0.8417910447761194,0.88
beto,it,68,0.6634304207119741,0.9852941176470589
beto,ja,37,0.6398989898989899,0.9459459459459459
beto,nl,172,0.7644393461428162,0.9709302325581395
beto,pl,22,0.8743961352657005,0.9545454545454546
beto,pt,39,0.6601307189542484,0.9743589743589743
beto,sw,10,0.6666666666666666,1.0
beto,tr,14,1.0,1.0
beto,un,114,0.8126984126984128,0.9385964912280702
beto,ur,36,0.6666666666666666,1.0
beto,zh,13,0.5090909090909091,0.7692307692307693
roberta-es,da,10,0.3333333333333333,1.0
roberta-es,de,140,0.6540966386554622,0.9785714285714285
roberta-es,en,43973,0.9204857844408231,0.9801696495576832
roberta-es,es,468,0.9464025349105811,0.9658119658119658
roberta-es,fr,119,0.6651162790697674,0.9915966386554622
roberta-es,hi,81,0.6642685851318945,0.9876543209876543
roberta-es,id,50,0.8020567851553767,0.86
roberta-es,it,68,0.6634304207119741,0.9852941176470589
roberta-es,ja,37,0.6303921568627451,0.9459459459459459
roberta-es,nl,172,0.7644393461428162,0.9709302325581395
roberta-es,pl,22,0.6388888888888888,0.9090909090909091
roberta-es,pt,39,1.0,1.0
roberta-es,sw,10,0.6666666666666666,1.0
roberta-es,tr,14,1.0,1.0
roberta-es,un,114,0.9793795452453281,0.9736842105263158
roberta-es,ur,36,0.6428334988414433,0.9722222222222222
roberta-es,zh,13,0.38344226579520696,0.6153846153846154
mbert,da,10,0.3333333333333333,1.0
mbert,de,140,0.881071369077366,0.9857142857142858
mbert,en,43973,0.9068153577224011,0.9765992768289632
mbert,es,468,0.9074696358689237,0.9444444444444444
mbert,fr,119,0.6651162790697674,0.9915966386554622
mbert,hi,81,0.6666666666666666,1.0
mbert,id,50,0.8301871473226972,0.88
mbert,it,68,0.6634304207119741,0.9852941176470589
mbert,ja,37,0.6485958485958486,0.972972972972973
mbert,nl,172,0.7799341120095837,0.9767441860465116
mbert,pl,22,0.6388888888888888,0.9090909090909091
mbert,pt,39,0.6601307189542484,0.9743589743589743
mbert,sw,10,0.6666666666666666,1.0
mbert,tr,14,1.0,1.0
mbert,un,114,0.8606230370936253,0.956140350877193
mbert,ur,36,0.6666666666666666,1.0
mbert,zh,13,0.6666666666666666,1.0
xlm-r,da,10,0.3333333333333333,1.0
xlm-r,de,140,0.6560492647449169,0.9785714285714285
xlm-r,en,43973,0.9041645001323187,0.9760762285948196
xlm-r,es,468,0.9040060879354478,0.9401709401709402
xlm-r,fr,119,0.6651162790697674,0.9915966386554622
xlm-r,hi,81,0.6507936507936508,0.9876543209876543
xlm-r,id,50,0.7841269841269841,0.84
xlm-r,it,68,0.6634304207119741,0.9852941176470589
xlm-r,ja,37,0.6303921568627451,0.9459459459459459
xlm-r,nl,172,0.8698612988833809,0.9825581395348837
xlm-r,pl,22,0.8743961352657005,0.9545454545454546
xlm-r,pt,39,0.6601307189542484,0.9743589743589743
xlm-r,sw,10,0.6666666666666666,1.0
xlm-r,tr,14,1.0,1.0
xlm-r,un,114,0.9722943722943723,0.9649122807017544
xlm-r,ur,36,0.6442577030812324,0.9722222222222222
xlm-r,zh,13,0.5634920634920635,0.8461538461538461
mdeberta,da,10,0.0,0.0
mdeberta,de,140,0.24242424242424243,0.5714285714285714
mdeberta,en,43973,0.30525316533724556,0.8446091920041844
mdeberta,es,468,0.08239700374531835,0.14102564102564102
mdeberta,fr,119,0.05641025641025641,0.09243697478991597
mdeberta,hi,81,0.30905077262693154,0.8641975308641975
mdeberta,id,50,0.08187134502923976,0.14
mdeberta,it,68,0.12698412698412698,0.23529411764705882
mdeberta,ja,37,0.20987654320987656,0.4594594594594595
mdeberta,nl,172,0.03663003663003663,0.05813953488372093
mdeberta,pl,22,0.19354838709677422,0.4090909090909091
mdeberta,pt,39,0.16666666666666666,0.3333333333333333
mdeberta,sw,10,0.2745098039215686,0.7
mdeberta,tr,14,0.14814814814814814,0.2857142857142857
mdeberta,un,114,0.26666666666666666,0.6666666666666666
mdeberta,ur,36,0.2795698924731183,0.7222222222222222
mdeberta,zh,13,0.2333333333333333,0.5384615384615384
distilbert,da,10,0.3333333333333333,1.0
distilbert,de,140,0.995080603776256,0.9928571428571429
distilbert,en,43973,0.9120560572589963,0.9776908557523936
distilbert,es,468,0.9068269498003213,0.9465811965811965
distilbert,fr,119,0.6651162790697674,0.9915966386554622
distilbert,hi,81,0.6484295845997973,0.9876543209876543
distilbert,id,50,0.820525311573905,0.86
distilbert,it,68,0.6601307189542484,0.9705882352941176
distilbert,ja,37,0.6485958485958486,0.972972972972973
distilbert,nl,172,0.7799341120095837,0.9767441860465116
distilbert,pl,22,0.8743961352657005,0.9545454545454546
distilbert,pt,39,0.6601307189542484,0.9743589743589743
distilbert,sw,10,0.6666666666666666,1.0
distilbert,tr,14,1.0,1.0
distilbert,un,114,0.8999107028957777,0.956140350877193
distilbert,ur,36,0.6601307189542484,0.9722222222222222
distilbert,zh,13,0.6141414141414141,0.9230769230769231
minilm,da,10,0.3333333333333333,1.0
minilm,de,140,0.6540966386554622,0.9785714285714285
minilm,en,43973,0.910314338186699,0.9772815136561072
minilm,es,468,0.929073220686124,0.9529914529914529
minilm,fr,119,0.6651162790697674,0.9915966386554622
minilm,hi,81,0.6484295845997973,0.9876543209876543
minilm,id,50,0.8115805946791862,0.86
minilm,it,68,0.6601307189542484,0.9705882352941176
minilm,ja,37,0.6485958485958486,0.972972972972973
minilm,nl,172,0.7968652037617554,0.9825581395348837
minilm,pl,22,0.8743961352657005,0.9545454545454546
minilm,pt,39,1.0,1.0
minilm,sw,10,0.6666666666666666,1.0
minilm,tr,14,1.0,1.0
minilm,un,114,0.8575616540951158,0.956140350877193
minilm,ur,36,0.6428334988414433,0.9722222222222222
minilm,zh,13,0.5854700854700855,0.8461538461538461
securebert2,da,10,0.3333333333333333,1.0
securebert2,de,140,0.995080603776256,0.9928571428571429
securebert2,en,43973,0.9210605086885953,0.9800786846473972
securebert2,es,468,0.9122543679074547,0.9444444444444444
securebert2,fr,119,1.0,1.0
securebert2,hi,81,0.6666666666666666,1.0
securebert2,id,50,0.8788280818131565,0.9
securebert2,it,68,0.6634304207119741,0.9852941176470589
securebert2,ja,37,0.6485958485958486,0.972972972972973
securebert2,nl,172,0.8698612988833809,0.9825581395348837
securebert2,pl,22,0.8743961352657005,0.9545454545454546
securebert2,pt,39,1.0,1.0
securebert2,sw,10,0.6666666666666666,1.0
securebert2,tr,14,0.8857142857142857,0.9285714285714286
securebert2,un,114,0.9104768964665184,0.9649122807017544
securebert2,ur,36,0.6205128205128205,0.9444444444444444
securebert2,zh,13,0.5634920634920635,0.8461538461538461
