dataset,encoder,classifier,true_label,predicted_label,count
MetaSMS,bow,nb,ham,ham,36953
MetaSMS,bow,nb,ham,spam,307
MetaSMS,bow,nb,ham,smishing,351
MetaSMS,bow,nb,spam,ham,160
MetaSMS,bow,nb,spam,spam,1895
MetaSMS,bow,nb,spam,smishing,759
MetaSMS,bow,nb,smishing,ham,137
MetaSMS,bow,nb,smishing,spam,1150
MetaSMS,bow,nb,smishing,smishing,3775
MetaSMS,bow,logreg,ham,ham,37207
MetaSMS,bow,logreg,ham,spam,256
MetaSMS,bow,logreg,ham,smishing,148
MetaSMS,bow,logreg,spam,ham,125
MetaSMS,bow,logreg,spam,spam,2002
MetaSMS,bow,logreg,spam,smishing,687
MetaSMS,bow,logreg,smishing,ham,127
MetaSMS,bow,logreg,smishing,spam,897
MetaSMS,bow,logreg,smishing,smishing,4038
MetaSMS,bow,rf,ham,ham,37234
MetaSMS,bow,rf,ham,spam,208
MetaSMS,bow,rf,ham,smishing,169
MetaSMS,bow,rf,spam,ham,270
MetaSMS,bow,rf,spam,spam,1662
MetaSMS,bow,rf,spam,smishing,882
MetaSMS,bow,rf,smishing,ham,215
MetaSMS,bow,rf,smishing,spam,667
MetaSMS,bow,rf,smishing,smishing,4180
MetaSMS,bow,svm,ham,ham,37311
MetaSMS,bow,svm,ham,spam,174
MetaSMS,bow,svm,ham,smishing,126
MetaSMS,bow,svm,spam,ham,197
MetaSMS,bow,svm,spam,spam,1871
MetaSMS,bow,svm,spam,smishing,746
MetaSMS,bow,svm,smishing,ham,173
MetaSMS,bow,svm,smishing,spam,819
MetaSMS,bow,svm,smishing,smishing,4070
MetaSMS,tfidf,nb,ham,ham,37299
MetaSMS,tfidf,nb,ham,spam,67
MetaSMS,tfidf,nb,ham,smishing,245
MetaSMS,tfidf,nb,spam,ham,301
MetaSMS,tfidf,nb,spam,spam,1177
MetaSMS,tfidf,nb,spam,smishing,1336
MetaSMS,tfidf,nb,smishing,ham,247
MetaSMS,tfidf,nb,smishing,spam,437
MetaSMS,tfidf,nb,smishing,smishing,4378
MetaSMS,tfidf,logreg,ham,ham,36990
MetaSMS,tfidf,logreg,ham,spam,345
MetaSMS,tfidf,logreg,ham,smishing,276
MetaSMS,tfidf,logreg,spam,ham,106
MetaSMS,tfidf,logreg,spam,spam,2100
MetaSMS,tfidf,logreg,spam,smishing,608
MetaSMS,tfidf,logreg,smishing,ham,113
MetaSMS,tfidf,logreg,smishing,spam,886
MetaSMS,tfidf,logreg,smishing,smishing,4063
MetaSMS,tfidf,rf,ham,ham,37400
MetaSMS,tfidf,rf,ham,spam,74
MetaSMS,tfidf,rf,ham,smishing,137
MetaSMS,tfidf,rf,spam,ham,265
MetaSMS,tfidf,rf,spam,spam,1618
MetaSMS,tfidf,rf,spam,smishing,931
MetaSMS,tfidf,rf,smishing,ham,216
MetaSMS,tfidf,rf,smishing,spam,590
MetaSMS,tfidf,rf,smishing,smishing,4256
MetaSMS,tfidf,svm,ham,ham,37362
MetaSMS,tfidf,svm,ham,spam,137
MetaSMS,tfidf,svm,ham,smishing,112
MetaSMS,tfidf,svm,spam,ham,142
MetaSMS,tfidf,svm,spam,spam,1969
MetaSMS,tfidf,svm,spam,smishing,703
MetaSMS,tfidf,svm,smishing,ham,141
MetaSMS,tfidf,svm,smishing,spam,748
MetaSMS,tfidf,svm,smishing,smishing,4173
MetaSMS,w2v,nb,ham,ham,34645
MetaSMS,w2v,nb,ham,spam,1537
MetaSMS,w2v,nb,ham,smishing,1429
MetaSMS,w2v,nb,spam,ham,324
MetaSMS,w2v,nb,spam,spam,1807
MetaSMS,w2v,nb,spam,smishing,683
MetaSMS,w2v,nb,smishing,ham,266
MetaSMS,w2v,nb,smishing,spam,2652
MetaSMS,w2v,nb,smishing,smishing,2144
MetaSMS,w2v,logreg,ham,ham,35040
MetaSMS,w2v,logreg,ham,spam,1904
MetaSMS,w2v,logreg,ham,smishing,667
MetaSMS,w2v,logreg,spam,ham,165
MetaSMS,w2v,logreg,spam,spam,1829
MetaSMS,w2v,logreg,spam,smishing,820
MetaSMS,w2v,logreg,smishing,ham,134
MetaSMS,w2v,logreg,smishing,spam,1581
MetaSMS,w2v,logreg,smishing,smishing,3347
MetaSMS,w2v,rf,ham,ham,37094
MetaSMS,w2v,rf,ham,spam,134
MetaSMS,w2v,rf,ham,smishing,383
MetaSMS,w2v,rf,spam,ham,224
MetaSMS,w2v,rf,spam,spam,1389
MetaSMS,w2v,rf,spam,smishing,1201
MetaSMS,w2v,rf,smishing,ham,179
MetaSMS,w2v,rf,smishing,spam,472
MetaSMS,w2v,rf,smishing,smishing,4411
MetaSMS,w2v,svm,ham,ham,36215
MetaSMS,w2v,svm,ham,spam,808
MetaSMS,w2v,svm,ham,smishing,588
MetaSMS,w2v,svm,spam,ham,342
MetaSMS,w2v,svm,spam,spam,1217
MetaSMS,w2v,svm,spam,smishing,1255
MetaSMS,w2v,svm,smishing,ham,288
MetaSMS,w2v,svm,smishing,spam,840
MetaSMS,w2v,svm,smishing,smishing,3934
MetaSMS,fasttext,nb,ham,ham,34954
MetaSMS,fasttext,nb,ham,spam,2001
MetaSMS,fasttext,nb,ham,smishing,656
MetaSMS,fasttext,nb,spam,ham,202
MetaSMS,fasttext,nb,spam,spam,1880
MetaSMS,fasttext,nb,spam,smishing,732
MetaSMS,fasttext,nb,smishing,ham,208
MetaSMS,fasttext,nb,smishing,spam,2338
MetaSMS,fasttext,nb,smishing,smishing,2516
MetaSMS,fasttext,logreg,ham,ham,35192
MetaSMS,fasttext,logreg,ham,spam,1713
MetaSMS,fasttext,logreg,ham,smishing,706
MetaSMS,fasttext,logreg,spam,ham,177
MetaSMS,fasttext,logreg,spam,spam,1863
MetaSMS,fasttext,logreg,spam,smishing,774
MetaSMS,fasttext,logreg,smishing,ham,123
MetaSMS,fasttext,logreg,smishing,spam,1588
MetaSMS,fasttext,logreg,smishing,smishing,3351
MetaSMS,fasttext,rf,ham,ham,37219
MetaSMS,fasttext,rf,ham,spam,134
MetaSMS,fasttext,rf,ham,smishing,258
MetaSMS,fasttext,rf,spam,ham,210
MetaSMS,fasttext,rf,spam,spam,1455
MetaSMS,fasttext,rf,spam,smishing,1149
MetaSMS,fasttext,rf,smishing,ham,191
MetaSMS,fasttext,rf,smishing,spam,476
MetaSMS,fasttext,rf,smishing,smishing,4395
MetaSMS,fasttext,svm,ham,ham,36230
MetaSMS,fasttext,svm,ham,spam,808
MetaSMS,fasttext,svm,ham,smishing,573
MetaSMS,fasttext,svm,spam,ham,355
MetaSMS,fasttext,svm,spam,spam,1286
MetaSMS,fasttext,svm,spam,smishing,1173
MetaSMS,fasttext,svm,smishing,ham,332
