dataset,encoder,classifier,n_train,n_val,n_test,val_macro_f1,val_accuracy,test_macro_f1,test_accuracy,test_f1_ham,test_f1_spam,test_f1_smishing,fit_time_s,predict_time_s
MetaSMS,bow,nb,363891,45486,45487,0.7863094479466107,0.9373873279690454,0.7869756297085345,0.9370369556136918,0.9872430237373265,0.6146610444372365,0.7590228209510406,14.457089445088059,0.1416023811325431
MetaSMS,bow,logreg,363891,45486,45487,0.8307196325499963,0.9530185111902564,0.824981454149058,0.950755160815178,0.9912614892766751,0.6707991288323002,0.8128837443381983,72.20162959210575,0.16124458005651832
MetaSMS,bow,rf,363891,45486,45487,0.8029225730276472,0.9470386492547157,0.8073172613327436,0.9469958449666938,0.9885570157971592,0.6211923005045786,0.8122024676964927,341.9888826459646,0.6530606746673584
MetaSMS,bow,svm,363891,45486,45487,0.8300338059533213,0.9540078265840038,0.8212702379486448,0.9508650823312155,0.9911013122244063,0.6590348714336034,0.8136745301879248,535.3165471972898,0.1453699767589569
MetaSMS,tfidf,nb,363891,45486,45487,0.7781129380249862,0.9446203227366662,0.7689263942926668,0.9421153296546266,0.9886029314320549,0.5236929922135707,0.7944832592323745,14.731020770967007,0.1416940907947719
MetaSMS,tfidf,logreg,363891,45486,45487,0.8298228677177143,0.9503583520204019,0.8280416263498228,0.9486886363136721,0.9887730553327987,0.6834825061025224,0.8118693176141473,55.334779508411884,0.15595530858263373
MetaSMS,tfidf,rf,363891,45486,45487,0.8127220093714452,0.9515235457063712,0.8151353712862787,0.9513487370017807,0.9908334657977004,0.6350078492935636,0.8195647987675717,206.95769341802225,0.6634252741932869
MetaSMS,tfidf,svm,363891,45486,45487,0.8387131088325351,0.9568878336191355,0.8393854189248232,0.956405126739508,0.9929307962155841,0.6947776993648553,0.8304477611940299,28.632072048727423,0.14437566697597504
MetaSMS,w2v,nb,363891,45486,45487,0.6053439747008736,0.8475794750032977,0.6071949813259021,0.8485061665970497,0.9511846909919557,0.4102156640181612,0.4601845889675896,34.109335232991725,0.19053256791085005
MetaSMS,w2v,logreg,363891,45486,45487,0.7016533705850462,0.885701094842369,0.6957140402402993,0.8841207377932156,0.9606579849211789,0.4500492125984252,0.6764349232012935,45.44565944606438,0.16136138513684273
MetaSMS,w2v,rf,363891,45486,45487,0.78313973348859,0.9420261179263949,0.7877611506808778,0.942994701782927,0.9877509719337487,0.577666874610106,0.797865605498779,51.16169409127906,0.5809427322819829
MetaSMS,w2v,svm,363891,45486,45487,0.7092269584519123,0.9088730598425889,0.7090943684247444,0.909402686481852,0.9727892983775652,0.42859658390561717,0.7258972229910509,57.149163040332496,0.1894658929668367
MetaSMS,fasttext,nb,363891,45486,45487,0.6411231567045923,0.8633645517302027,0.6451515828992519,0.8650823312155121,0.9579719081877355,0.416251522196391,0.5612313183136293,78.37447700416669,0.18783173291012645
MetaSMS,fasttext,logreg,363891,45486,45487,0.7053887018291943,0.8889548432484721,0.7024296498491623,0.8882977554026426,0.9628059039984679,0.4670343444472299,0.6774487011017891,95.72349803196266,0.15956145012751222
MetaSMS,fasttext,rf,363891,45486,45487,0.7969508594395349,0.9469067405355494,0.7983290280756815,0.9468419548442412,0.9894591325384482,0.5964336954293913,0.8090942562592047,96.22246773261577,0.44501638785004616
MetaSMS,fasttext,svm,363891,45486,45487,0.7143326439638454,0.9101921470342523,0.7121097053018763,0.9090949062369468,0.9722520395019322,0.44329541537400896,0.7207816610296881,112.0997588019818,0.15599036403000355
