dataset,encoder,classifier,true_label,predicted_label,count
MetaSMS,bow,nb,ham,ham,37013
MetaSMS,bow,nb,ham,spam,428
MetaSMS,bow,nb,ham,smishing,170
MetaSMS,bow,nb,spam,ham,188
MetaSMS,bow,nb,spam,spam,1868
MetaSMS,bow,nb,spam,smishing,758
MetaSMS,bow,nb,smishing,ham,109
MetaSMS,bow,nb,smishing,spam,1240
MetaSMS,bow,nb,smishing,smishing,3713
MetaSMS,bow,logreg,ham,ham,37236
MetaSMS,bow,logreg,ham,spam,223
MetaSMS,bow,logreg,ham,smishing,152
MetaSMS,bow,logreg,spam,ham,101
MetaSMS,bow,logreg,spam,spam,2026
MetaSMS,bow,logreg,spam,smishing,687
MetaSMS,bow,logreg,smishing,ham,74
MetaSMS,bow,logreg,smishing,spam,923
MetaSMS,bow,logreg,smishing,smishing,4065
MetaSMS,bow,rf,ham,ham,37234
MetaSMS,bow,rf,ham,spam,133
MetaSMS,bow,rf,ham,smishing,244
MetaSMS,bow,rf,spam,ham,172
MetaSMS,bow,rf,spam,spam,1739
MetaSMS,bow,rf,spam,smishing,903
MetaSMS,bow,rf,smishing,ham,107
MetaSMS,bow,rf,smishing,spam,633
MetaSMS,bow,rf,smishing,smishing,4322
MetaSMS,bow,svm,ham,ham,37329
MetaSMS,bow,svm,ham,spam,160
MetaSMS,bow,svm,ham,smishing,122
MetaSMS,bow,svm,spam,ham,133
MetaSMS,bow,svm,spam,spam,1923
MetaSMS,bow,svm,spam,smishing,758
MetaSMS,bow,svm,smishing,ham,113
MetaSMS,bow,svm,smishing,spam,845
MetaSMS,bow,svm,smishing,smishing,4104
MetaSMS,tfidf,nb,ham,ham,37257
MetaSMS,tfidf,nb,ham,spam,103
MetaSMS,tfidf,nb,ham,smishing,251
MetaSMS,tfidf,nb,spam,ham,257
MetaSMS,tfidf,nb,spam,spam,1239
MetaSMS,tfidf,nb,spam,smishing,1318
MetaSMS,tfidf,nb,smishing,ham,153
MetaSMS,tfidf,nb,smishing,spam,493
MetaSMS,tfidf,nb,smishing,smishing,4416
MetaSMS,tfidf,logreg,ham,ham,37084
MetaSMS,tfidf,logreg,ham,spam,332
MetaSMS,tfidf,logreg,ham,smishing,195
MetaSMS,tfidf,logreg,spam,ham,78
MetaSMS,tfidf,logreg,spam,spam,2171
MetaSMS,tfidf,logreg,spam,smishing,565
MetaSMS,tfidf,logreg,smishing,ham,55
MetaSMS,tfidf,logreg,smishing,spam,935
MetaSMS,tfidf,logreg,smishing,smishing,4072
MetaSMS,tfidf,rf,ham,ham,37304
MetaSMS,tfidf,rf,ham,spam,138
MetaSMS,tfidf,rf,ham,smishing,169
MetaSMS,tfidf,rf,spam,ham,175
MetaSMS,tfidf,rf,spam,spam,1680
MetaSMS,tfidf,rf,spam,smishing,959
MetaSMS,tfidf,rf,smishing,ham,110
MetaSMS,tfidf,rf,smishing,spam,576
MetaSMS,tfidf,rf,smishing,smishing,4376
MetaSMS,tfidf,svm,ham,ham,37381
MetaSMS,tfidf,svm,ham,spam,129
MetaSMS,tfidf,svm,ham,smishing,101
MetaSMS,tfidf,svm,spam,ham,115
MetaSMS,tfidf,svm,spam,spam,2007
MetaSMS,tfidf,svm,spam,smishing,692
MetaSMS,tfidf,svm,smishing,ham,78
MetaSMS,tfidf,svm,smishing,spam,750
MetaSMS,tfidf,svm,smishing,smishing,4234
