dataset,encoder,classifier,true_label,predicted_label,count
MetaSMS,bow,nb,ham,ham,36943
MetaSMS,bow,nb,ham,spam,328
MetaSMS,bow,nb,ham,smishing,340
MetaSMS,bow,nb,spam,ham,171
MetaSMS,bow,nb,spam,spam,1902
MetaSMS,bow,nb,spam,smishing,741
MetaSMS,bow,nb,smishing,ham,126
MetaSMS,bow,nb,smishing,spam,1204
MetaSMS,bow,nb,smishing,smishing,3732
MetaSMS,bow,logreg,ham,ham,37228
MetaSMS,bow,logreg,ham,spam,229
MetaSMS,bow,logreg,ham,smishing,154
MetaSMS,bow,logreg,spam,ham,125
MetaSMS,bow,logreg,spam,spam,1997
MetaSMS,bow,logreg,spam,smishing,692
MetaSMS,bow,logreg,smishing,ham,123
MetaSMS,bow,logreg,smishing,spam,898
MetaSMS,bow,logreg,smishing,smishing,4041
MetaSMS,bow,rf,ham,ham,37094
MetaSMS,bow,rf,ham,spam,197
MetaSMS,bow,rf,ham,smishing,320
MetaSMS,bow,rf,spam,ham,246
MetaSMS,bow,rf,spam,spam,1661
MetaSMS,bow,rf,spam,smishing,907
MetaSMS,bow,rf,smishing,ham,167
MetaSMS,bow,rf,smishing,spam,667
MetaSMS,bow,rf,smishing,smishing,4228
MetaSMS,bow,svm,ham,ham,37319
MetaSMS,bow,svm,ham,spam,174
MetaSMS,bow,svm,ham,smishing,118
MetaSMS,bow,svm,spam,ham,171
MetaSMS,bow,svm,spam,spam,1895
MetaSMS,bow,svm,spam,smishing,748
MetaSMS,bow,svm,smishing,ham,168
MetaSMS,bow,svm,smishing,spam,811
MetaSMS,bow,svm,smishing,smishing,4083
MetaSMS,tfidf,nb,ham,ham,37268
MetaSMS,tfidf,nb,ham,spam,82
MetaSMS,tfidf,nb,ham,smishing,261
MetaSMS,tfidf,nb,spam,ham,306
MetaSMS,tfidf,nb,spam,spam,1221
MetaSMS,tfidf,nb,spam,smishing,1287
MetaSMS,tfidf,nb,smishing,ham,237
MetaSMS,tfidf,nb,smishing,spam,458
MetaSMS,tfidf,nb,smishing,smishing,4367
MetaSMS,tfidf,logreg,ham,ham,36962
MetaSMS,tfidf,logreg,ham,spam,345
MetaSMS,tfidf,logreg,ham,smishing,304
MetaSMS,tfidf,logreg,spam,ham,97
MetaSMS,tfidf,logreg,spam,spam,2135
MetaSMS,tfidf,logreg,spam,smishing,582
MetaSMS,tfidf,logreg,smishing,ham,98
MetaSMS,tfidf,logreg,smishing,spam,896
MetaSMS,tfidf,logreg,smishing,smishing,4068
MetaSMS,tfidf,rf,ham,ham,37257
MetaSMS,tfidf,rf,ham,spam,78
MetaSMS,tfidf,rf,ham,smishing,276
MetaSMS,tfidf,rf,spam,ham,239
MetaSMS,tfidf,rf,spam,spam,1622
MetaSMS,tfidf,rf,spam,smishing,953
MetaSMS,tfidf,rf,smishing,ham,181
MetaSMS,tfidf,rf,smishing,spam,589
MetaSMS,tfidf,rf,smishing,smishing,4292
MetaSMS,tfidf,svm,ham,ham,37358
MetaSMS,tfidf,svm,ham,spam,142
MetaSMS,tfidf,svm,ham,smishing,111
MetaSMS,tfidf,svm,spam,ham,134
MetaSMS,tfidf,svm,spam,spam,1983
MetaSMS,tfidf,svm,spam,smishing,697
MetaSMS,tfidf,svm,smishing,ham,144
MetaSMS,tfidf,svm,smishing,spam,736
MetaSMS,tfidf,svm,smishing,smishing,4182
MetaSMS,w2v,nb,ham,ham,35307
MetaSMS,w2v,nb,ham,spam,998
MetaSMS,w2v,nb,ham,smishing,1306
MetaSMS,w2v,nb,spam,ham,282
MetaSMS,w2v,nb,spam,spam,1918
MetaSMS,w2v,nb,spam,smishing,614
MetaSMS,w2v,nb,smishing,ham,224
MetaSMS,w2v,nb,smishing,spam,2950
MetaSMS,w2v,nb,smishing,smishing,1888
MetaSMS,w2v,logreg,ham,ham,35357
MetaSMS,w2v,logreg,ham,spam,1570
MetaSMS,w2v,logreg,ham,smishing,684
MetaSMS,w2v,logreg,spam,ham,158
MetaSMS,w2v,logreg,spam,spam,1859
MetaSMS,w2v,logreg,spam,smishing,797
MetaSMS,w2v,logreg,smishing,ham,109
MetaSMS,w2v,logreg,smishing,spam,1545
MetaSMS,w2v,logreg,smishing,smishing,3408
MetaSMS,w2v,rf,ham,ham,37149
MetaSMS,w2v,rf,ham,spam,108
MetaSMS,w2v,rf,ham,smishing,354
MetaSMS,w2v,rf,spam,ham,194
MetaSMS,w2v,rf,spam,spam,1377
MetaSMS,w2v,rf,spam,smishing,1243
MetaSMS,w2v,rf,smishing,ham,143
MetaSMS,w2v,rf,smishing,spam,449
MetaSMS,w2v,rf,smishing,smishing,4470
MetaSMS,w2v,svm,ham,ham,36387
MetaSMS,w2v,svm,ham,spam,705
MetaSMS,w2v,svm,ham,smishing,519
MetaSMS,w2v,svm,spam,ham,317
MetaSMS,w2v,svm,spam,spam,1276
MetaSMS,w2v,svm,spam,smishing,1221
MetaSMS,w2v,svm,smishing,ham,239
MetaSMS,w2v,svm,smishing,spam,853
MetaSMS,w2v,svm,smishing,smishing,3970
MetaSMS,fasttext,nb,ham,ham,35291
MetaSMS,fasttext,nb,ham,spam,1469
MetaSMS,fasttext,nb,ham,smishing,851
MetaSMS,fasttext,nb,spam,ham,201
