dataset,encoder,classifier,true_label,predicted_label,count
MetaSMS,bow,nb,ham,ham,37032
MetaSMS,bow,nb,ham,spam,319
MetaSMS,bow,nb,ham,smishing,260
MetaSMS,bow,nb,spam,ham,172
MetaSMS,bow,nb,spam,spam,2046
MetaSMS,bow,nb,spam,smishing,596
MetaSMS,bow,nb,smishing,ham,125
MetaSMS,bow,nb,smishing,spam,1089
MetaSMS,bow,nb,smishing,smishing,3848
MetaSMS,bow,logreg,ham,ham,37254
MetaSMS,bow,logreg,ham,spam,271
MetaSMS,bow,logreg,ham,smishing,86
MetaSMS,bow,logreg,spam,ham,137
MetaSMS,bow,logreg,spam,spam,2155
MetaSMS,bow,logreg,spam,smishing,522
MetaSMS,bow,logreg,smishing,ham,119
MetaSMS,bow,logreg,smishing,spam,712
MetaSMS,bow,logreg,smishing,smishing,4231
MetaSMS,bow,rf,ham,ham,37278
MetaSMS,bow,rf,ham,spam,240
MetaSMS,bow,rf,ham,smishing,93
MetaSMS,bow,rf,spam,ham,296
MetaSMS,bow,rf,spam,spam,1818
MetaSMS,bow,rf,spam,smishing,700
MetaSMS,bow,rf,smishing,ham,202
MetaSMS,bow,rf,smishing,spam,649
MetaSMS,bow,rf,smishing,smishing,4211
MetaSMS,bow,svm,ham,ham,37367
MetaSMS,bow,svm,ham,spam,172
MetaSMS,bow,svm,ham,smishing,72
MetaSMS,bow,svm,spam,ham,196
MetaSMS,bow,svm,spam,spam,2042
MetaSMS,bow,svm,spam,smishing,576
MetaSMS,bow,svm,smishing,ham,146
MetaSMS,bow,svm,smishing,spam,676
MetaSMS,bow,svm,smishing,smishing,4240
MetaSMS,tfidf,nb,ham,ham,37344
MetaSMS,tfidf,nb,ham,spam,74
MetaSMS,tfidf,nb,ham,smishing,193
MetaSMS,tfidf,nb,spam,ham,317
MetaSMS,tfidf,nb,spam,spam,1340
MetaSMS,tfidf,nb,spam,smishing,1157
MetaSMS,tfidf,nb,smishing,ham,214
MetaSMS,tfidf,nb,smishing,spam,448
MetaSMS,tfidf,nb,smishing,smishing,4400
MetaSMS,tfidf,logreg,ham,ham,37122
MetaSMS,tfidf,logreg,ham,spam,391
MetaSMS,tfidf,logreg,ham,smishing,98
MetaSMS,tfidf,logreg,spam,ham,119
MetaSMS,tfidf,logreg,spam,spam,2279
MetaSMS,tfidf,logreg,spam,smishing,416
MetaSMS,tfidf,logreg,smishing,ham,90
MetaSMS,tfidf,logreg,smishing,spam,775
MetaSMS,tfidf,logreg,smishing,smishing,4197
MetaSMS,tfidf,rf,ham,ham,37457
MetaSMS,tfidf,rf,ham,spam,76
MetaSMS,tfidf,rf,ham,smishing,78
MetaSMS,tfidf,rf,spam,ham,297
MetaSMS,tfidf,rf,spam,spam,1794
MetaSMS,tfidf,rf,spam,smishing,723
MetaSMS,tfidf,rf,smishing,ham,195
MetaSMS,tfidf,rf,smishing,spam,545
MetaSMS,tfidf,rf,smishing,smishing,4322
MetaSMS,tfidf,svm,ham,ham,37395
MetaSMS,tfidf,svm,ham,spam,156
MetaSMS,tfidf,svm,ham,smishing,60
MetaSMS,tfidf,svm,spam,ham,155
MetaSMS,tfidf,svm,spam,spam,2153
MetaSMS,tfidf,svm,spam,smishing,506
MetaSMS,tfidf,svm,smishing,ham,114
MetaSMS,tfidf,svm,smishing,spam,651
MetaSMS,tfidf,svm,smishing,smishing,4297
MetaSMS,w2v,nb,ham,ham,34757
MetaSMS,w2v,nb,ham,spam,1552
MetaSMS,w2v,nb,ham,smishing,1302
MetaSMS,w2v,nb,spam,ham,349
MetaSMS,w2v,nb,spam,spam,1846
MetaSMS,w2v,nb,spam,smishing,619
MetaSMS,w2v,nb,smishing,ham,264
